Property_ID,Address,Value_2023,Link,area_1,area
R334385,"1504 EDELWEISS DR, CEDAR PARK, TX  78613",511057,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R334385,2714,"2,714 Sq. Ft"
R335121,"1701 TODD LN, CEDAR PARK, TX  78613",516423,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R335121,2688,"2,688 Sq. Ft"
R335166,"2214 SHARON DR, CEDAR PARK, TX  78613",570090,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R335166,2692,"2,692 Sq. Ft"
R341273,"1503 AUTUMN FIRE CV, AUSTIN, TX  78613",504102,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R341273,2696,"2,696 Sq. Ft"
R341295,"1718 STAR LIGHT CIR, CEDAR PARK, TX  78613",570431,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R341295,2698,"2,698 Sq. Ft"
R341337,"1743 STAR LIGHT CIR, CEDAR PARK, TX  78613",542653,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R341337,2698,"2,698 Sq. Ft"
R341713,"1806 AUTUMN FIRE DR, CEDAR PARK, TX  78613",514406,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R341713,2702,"2,702 Sq. Ft"
R341760,"1700 BOW RIDGE DR, CEDAR PARK, TX  78613",517163,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R341760,2679,"2,679 Sq. Ft"
R359747,"1709 DEL NORTE CV, CEDAR PARK, TX  78613",495794,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R359747,2681,"2,681 Sq. Ft"
R359812,"1701 BARRILLA ST, CEDAR PARK, TX  78613",479314,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R359812,2688,"2,688 Sq. Ft"
R360122,"2406 SHARON DR, CEDAR PARK, TX  78613",512685,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R360122,2680,"2,680 Sq. Ft"
R364125,"2306 SANDRA DR, CEDAR PARK, TX  78613",524647,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R364125,2701,"2,701 Sq. Ft"
R378426,"1105 VAN HORN WAY, CEDAR PARK, TX  78613",491576,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R378426,2688,"2,688 Sq. Ft"
R334406,"1505 EDELWEISS DR, CEDAR PARK, TX  78613",483355,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R334406,2652,"2,652 Sq. Ft"
R334435,"1607 AZALEA DR, CEDAR PARK, TX  78613",498171,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R334435,2601,"2,601 Sq. Ft"
R334437,"1609 AZALEA DR, CEDAR PARK, TX  78613",483633,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R334437,2626,"2,626 Sq. Ft"
R335110,"1811 TODD LN, CEDAR PARK, TX  78613",517804,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R335110,2598,"2,598 Sq. Ft"
R335118,"1707 TODD LN, CEDAR PARK, TX  78613",521106,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R335118,2792,"2,792 Sq. Ft"
R335134,"1701 TRACY MILLER LN, CEDAR PARK, TX  78613",505775,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R335134,2652,"2,652 Sq. Ft"
R335153,"1606 SHARON PL, CEDAR PARK, TX  78613",516149,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R335153,2734,"2,734 Sq. Ft"
R335162,"1611 SHARON PL, CEDAR PARK, TX  78613",529720,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R335162,2798,"2,798 Sq. Ft"
R335170,"2206 SHARON DR, CEDAR PARK, TX  78613",493623,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R335170,2635,"2,635 Sq. Ft"
R335172,"2202 SHARON DR, CEDAR PARK, TX  78613",491626,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R335172,2610,"2,610 Sq. Ft"
R335176,"1710 TRACY MILLER LN, CEDAR PARK, TX  78613",517266,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R335176,2726,"2,726 Sq. Ft"
R335184,"2303 SHARON DR, CEDAR PARK, TX  78613",495864,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R335184,2670,"2,670 Sq. Ft"
R340320,"1612 EAGLE WING DR, CEDAR PARK, TX  78613",530076,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R340320,2788,"2,788 Sq. Ft"
R340390,"2022 SIMBRAH DR, CEDAR PARK, TX  78613",496744,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R340390,2620,"2,620 Sq. Ft"
R340391,"2020 SIMBRAH DR, CEDAR PARK, TX  78613",494560,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R340391,2660,"2,660 Sq. Ft"
R340415,"2205 BENT BOW DR, CEDAR PARK, TX  78613",492091,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R340415,2645,"2,645 Sq. Ft"
R340430,"2209 BENT BOW DR, CEDAR PARK, TX  78613",503235,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R340430,2624,"2,624 Sq. Ft"
R341268,"1502 AUTUMN FIRE CV, CEDAR PARK, TX  78613",491381,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R341268,2630,"2,630 Sq. Ft"
R341321,"1707 STAR LIGHT CIR, CEDAR PARK, TX  78613",541896,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R341321,2781,"2,781 Sq. Ft"
R341718,"1801 FEATHER NEST DR, CEDAR PARK, TX  78613",502528,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R341718,2632,"2,632 Sq. Ft"
R341723,"1811 FEATHER NEST DR, CEDAR PARK, TX  78613",543612,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R341723,2770,"2,770 Sq. Ft"
R341731,"1820 FEATHER NEST DR, CEDAR PARK, TX  78613",531403,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R341731,2770,"2,770 Sq. Ft"
R341753,"1714 BOW RIDGE DR, CEDAR PARK, TX  78613",518834,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R341753,2745,"2,745 Sq. Ft"
R359759,"1707 CHINATI CT, CEDAR PARK, TX  78613",492028,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R359759,2656,"2,656 Sq. Ft"
R359760,"1709 CHINATI CT, CEDAR PARK, TX  78613",528520,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R359760,2772,"2,772 Sq. Ft"
R359778,"1302 CHALK LN, CEDAR PARK, TX  78613",523489,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R359778,2731,"2,731 Sq. Ft"
R359783,"1405 CHALK LN, CEDAR PARK, TX  78613",524517,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R359783,2739,"2,739 Sq. Ft"
R359796,"1703 CHALK CV, CEDAR PARK, TX  78613",488090,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R359796,2651,"2,651 Sq. Ft"
R359824,"1435 JENNA LN, CEDAR PARK, TX  78613",506384,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R359824,2633,"2,633 Sq. Ft"
R359846,"1808 ECLIPSE CV, CEDAR PARK, TX  78613",514376,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R359846,2671,"2,671 Sq. Ft"
R359888,"1807 ECLIPSE CV, CEDAR PARK, TX  78613",490197,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R359888,2632,"2,632 Sq. Ft"
R360102,"1706 CLAY LN, CEDAR PARK, TX  78613",539140,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R360102,2789,"2,789 Sq. Ft"
R360127,"2307 ELEANOR WAY, CEDAR PARK, TX  78613",509546,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R360127,2619,"2,619 Sq. Ft"
R364085,"2311 SANDRA DR, CEDAR PARK, TX  78613",523459,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R364085,2648,"2,648 Sq. Ft"
R364090,"2301 SANDRA DR, CEDAR PARK, TX  78613",537846,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R364090,2764,"2,764 Sq. Ft"
R364099,"2203 SANDRA DR, CEDAR PARK, TX  78613",523323,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R364099,2727,"2,727 Sq. Ft"
R364120,"1800 SANDRA CV, CEDAR PARK, TX  78613",536714,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R364120,2762,"2,762 Sq. Ft"
R364122,"1804 SANDRA CV, CEDAR PARK, TX  78613",470439,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R364122,2657,"2,657 Sq. Ft"
R368157,"2002 CUPOLLA MOUNTAIN, CEDAR PARK, TX  78613",532932,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R368157,2724,"2,724 Sq. Ft"
R368161,"1906 CUPOLLA MOUNTAIN, CEDAR PARK, TX  78613",541517,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R368161,2783,"2,783 Sq. Ft"
R368165,"1210 DEL ROY DR, CEDAR PARK, TX  78613",526330,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R368165,2724,"2,724 Sq. Ft"
R368178,"2106 MACON DR, CEDAR PARK, TX  78613",540204,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R368178,2798,"2,798 Sq. Ft"
R368194,"1209 DEL ROY DR, CEDAR PARK, TX  78613",526071,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R368194,2736,"2,736 Sq. Ft"
R372795,"1304 DEVIL RDG, CEDAR PARK, TX  78613",493894,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R372795,2669,"2,669 Sq. Ft"
R378417,"1007 DUNCAN DR, CEDAR PARK, TX  78613",545442,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R378417,2776,"2,776 Sq. Ft"
R378424,"1101 VAN HORN WAY, CEDAR PARK, TX  78613",543055,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R378424,2787,"2,787 Sq. Ft"
R378439,"2010 RACHEL RIDGE, CEDAR PARK, TX  78613",502370,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R378439,2617,"2,617 Sq. Ft"
R378458,"2007 JASPER LN, CEDAR PARK, TX  78613",527795,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R378458,2745,"2,745 Sq. Ft"
R378460,"2003 JASPER LN, CEDAR PARK, TX  78613",531620,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R378460,2783,"2,783 Sq. Ft"
R383868,"1610 SOMERSET CANYON LN, CEDAR PARK, TX  78613",540235,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R383868,2796,"2,796 Sq. Ft"
R383909,"2210 KERR TRL, CEDAR PARK, TX  78613",532179,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R383909,2749,"2,749 Sq. Ft"
R391821,"1116 DEL ROY DR, CEDAR PARK, TX  78613",478628,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R391821,2637,"2,637 Sq. Ft"
R391824,"1110 DEL ROY DR, CEDAR PARK, TX  78613",523935,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R391824,2784,"2,784 Sq. Ft"
R391826,"1106 DEL ROY DR, CEDAR PARK, TX  78613",527821,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R391826,2756,"2,756 Sq. Ft"
R391842,"1204 STILLWELL RIDGE, CEDAR PARK, TX  78613",512094,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R391842,2724,"2,724 Sq. Ft"
R391855,"1105 STILLWELL RIDGE, CEDAR PARK, TX  78613",537591,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R391855,2776,"2,776 Sq. Ft"
R391880,"2108 VAN HORN CV, CEDAR PARK, TX  78613",551438,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R391880,2646,"2,646 Sq. Ft"
R411184,"2217 LITTLE TREE BEND, CEDAR PARK, TX  78613",510722,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R411184,2731,"2,731 Sq. Ft"
R411160,"2112 PENA BLANCA DR, CEDAR PARK, TX  78613",535859,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R411160,2681,"2,681 Sq. Ft"
R330787,"1600 IRIS LN, CEDAR PARK, TX  78613",506990,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330787,2661,"2,661 Sq. Ft"
R330794,"1705 EDELWEISS DR, CEDAR PARK, TX  78613",530616,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330794,2610,"2,610 Sq. Ft"
R330833,"1706 CORAL DR, CEDAR PARK, TX  78613",510457,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330833,2658,"2,658 Sq. Ft"
R330845,"1811 AZALEA DR, CEDAR PARK, TX  78613",203113,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330845,2624,"2,624 Sq. Ft"
R334426,"1506 AZALEA DR, CEDAR PARK, TX  78613",525518,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R334426,2738,"2,738 Sq. Ft"
R335099,"2203 SHARON DR, CEDAR PARK, TX  78613",547341,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R335099,2626,"2,626 Sq. Ft"
R335106,"2101 SHARON DR, CEDAR PARK, TX  78613",518700,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R335106,2727,"2,727 Sq. Ft"
R335138,"1709 TRACY MILLER LN, CEDAR PARK, TX  78613",483832,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R335138,2620,"2,620 Sq. Ft"
R335143,"1807 TRACY MILLER LN, CEDAR PARK, TX  78613",537404,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R335143,2661,"2,661 Sq. Ft"
R335149,"1700 SHARON PL, CEDAR PARK, TX  78613",503649,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R335149,2616,"2,616 Sq. Ft"
R335150,"1612 SHARON PLACE, CEDAR PARK, TX  78613",527240,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R335150,2735,"2,735 Sq. Ft"
R335155,"1602 SHARON PL, CEDAR PARK, TX  78613",490534,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R335155,2628,"2,628 Sq. Ft"
R340461,"2009 SIMBRAH DR, CEDAR PARK, TX  78613",567102,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R340461,2794,"2,794 Sq. Ft"
R341310,"1800 SUMMER RAIN DR, CEDAR PARK, TX  78613",538238,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R341310,2602,"2,602 Sq. Ft"
R341757,"1706 BOW RIDGE DR, CEDAR PARK, TX  78613",557937,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R341757,2665,"2,665 Sq. Ft"
R359808,"1722 BARRILLA ST, CEDAR PARK, TX  78613",525694,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R359808,2791,"2,791 Sq. Ft"
R359825,"1433 JENNA LN, CEDAR PARK, TX  78613",518165,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R359825,2734,"2,734 Sq. Ft"
R359860,"2013 AUTUMN FIRE DR, CEDAR PARK, TX  78613",524929,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R359860,2602,"2,602 Sq. Ft"
R360106,"2312 ELEANOR WAY, CEDAR PARK, TX  78613",561451,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R360106,2608,"2,608 Sq. Ft"
R372803,"2112 MILAN DR, CEDAR PARK, TX  78613",533334,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R372803,2771,"2,771 Sq. Ft"
R341326,"1607 PAPER MOON DR, CEDAR PARK, TX  78613",531745,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R341326,2714,"2,714 Sq. Ft"
R368168,"1431 JENNA LN, CEDAR PARK, TX  78613",542181,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R368168,2703,"2,703 Sq. Ft"
R378391,"2007 RACHEL RDG, CEDAR PARK, TX  78613",532545,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R378391,2691,"2,691 Sq. Ft"
R378394,"2013 RACHEL RIDGE, CEDAR PARK, TX  78613",534238,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R378394,2716,"2,716 Sq. Ft"
R335097,"2207 SHARON DR, CEDAR PARK, TX  78613",535596,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R335097,2730,"2,730 Sq. Ft"
R335101,"2111 SHARON DR, CEDAR PARK, TX  78613",497769,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R335101,2661,"2,661 Sq. Ft"
R335125,"1804 TODD LN, CEDAR PARK, TX  78613",495499,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R335125,2655,"2,655 Sq. Ft"
R335163,"1701 SHARON PL, CEDAR PARK, TX  78613",543032,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R335163,2778,"2,778 Sq. Ft"
R340416,"2207 BENT BOW DR, CEDAR PARK, TX  78613",532972,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R340416,2722,"2,722 Sq. Ft"
R340435,"2217 BENT BOW DR, CEDAR PARK, TX  78613",518067,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R340435,2678,"2,678 Sq. Ft"
R340462,"2007 SIMBRAH DR, CEDAR PARK, TX  78613",499413,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R340462,2618,"2,618 Sq. Ft"
R341294,"1720 STAR LIGHT CIR, CEDAR PARK, TX  78613",538820,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R341294,2796,"2,796 Sq. Ft"
R359800,"1303 CHALK LN, CEDAR PARK, TX  78613",591119,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R359800,2653,"2,653 Sq. Ft"
R360113,"2208 ELEANOR WAY, CEDAR PARK, TX  78613",529413,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R360113,2789,"2,789 Sq. Ft"
R360132,"1803 CLAY LN, CEDAR PARK, TX  78613",523269,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R360132,2740,"2,740 Sq. Ft"
R364127,"2310 SANDRA DR, CEDAR PARK, TX  78613",538729,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R364127,2740,"2,740 Sq. Ft"
R368166,"1208 DEL ROY DR, CEDAR PARK, TX  78613",539585,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R368166,2762,"2,762 Sq. Ft"
R378385,"1008 DEL ROY DR, CEDAR PARK, TX  78613",500773,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R378385,2607,"2,607 Sq. Ft"
R378423,"2108 JASPER LN, CEDAR PARK, TX  78613",520450,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R378423,2757,"2,757 Sq. Ft"
R391828,"1102 DEL ROY DR, CEDAR PARK, TX  78613",522668,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R391828,2769,"2,769 Sq. Ft"
R330806,"1702 EDELWEISS DR, CEDAR PARK, TX  78613",572715,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330806,2709,"2,709 Sq. Ft"
R359743,"1701 DEL NORTE CV, CEDAR PARK, TX  78613",561253,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R359743,2684,"2,684 Sq. Ft"
R304451,"1701 LION HEART DR, CEDAR PARK, TX  78613",503574,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304451,2727,"2,727 Sq. Ft"
R311008,"2104 HEATHER DR, CEDAR PARK, TX  78613",490951,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R311008,2622,"2,622 Sq. Ft"
R330855,"2212 HEATHER DR, CEDAR PARK, TX  78613",530940,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330855,2770,"2,770 Sq. Ft"
R334410,"1808 AZALEA DR, CEDAR PARK, TX  78613",579701,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R334410,2786,"2,786 Sq. Ft"
R335126,"1802 TODD LN, CEDAR PARK, TX  78613",519819,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R335126,2624,"2,624 Sq. Ft"
R335161,"1609 SHARON PL, CEDAR PARK, TX  78613",608288,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R335161,2780,"2,780 Sq. Ft"
R335165,"1705 SHARON PLACE, CEDAR PARK, TX  78613",574166,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R335165,2780,"2,780 Sq. Ft"
R368171,"1425 JENNA LN, CEDAR PARK, TX  78613",610239,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R368171,2736,"2,736 Sq. Ft"
R368182,"2105 MACON DR, CEDAR PARK, TX  78613",540246,https://search.wcad.org/Property-Detail/PropertyQuickRefID/R368182,2744,"2,744 Sq. Ft"